id,timestamp,coin,direction,sell_exchange,buy_exchange,premium_pct,sell_bid_usdt,buy_ask_usdt,krw_usd,usdt_usd,est_qty,est_profit_usdt
3952,2026-03-29T22:55:59.549Z,BTC,fwd,bithumb,bybit,2.074651263240801,67034.4649775955,65672,1508.0004,1,0.015227189669874528,20.746512632408088
3951,2026-03-29T22:55:59.549Z,BTC,fwd,bithumb,binance,2.06397426995244,67034.4649775955,65678.87,1508.0004,1,0.015225596908107587,20.63974269952435
3950,2026-03-29T22:55:58.550Z,ETH,fwd,bithumb,bybit,2.0562896690034194,2006.630767471945,1966.2,1508.0004,1,0.5085952598921778,20.562896690034098
3949,2026-03-29T22:55:58.550Z,BTC,fwd,bithumb,bybit,2.0999928073198726,67034.4649775955,65655.7,1508.0004,1,0.015230970045251212,20.999928073198625
3948,2026-03-29T22:55:58.549Z,BTC,fwd,bithumb,binance,2.0931198078765423,67034.4649775955,65660.12,1508.0004,1,0.01522994475185242,20.931198078765448
3947,2026-03-29T22:55:57.550Z,ETH,fwd,bithumb,bybit,2.0775752990881635,2006.630767471945,1965.79,1508.0004,1,0.3551,14.502556529287716
3946,2026-03-29T22:55:57.550Z,ETH,fwd,bithumb,binance,2.082248942969178,2006.630767471945,1965.7,1508.0004,1,0.2105,8.615926552844432
3945,2026-03-29T22:55:57.550Z,BTC,fwd,bithumb,bybit,2.1127460719684743,67034.4649775955,65647.5,1508.0004,1,0.01523287253893903,21.12746071968474
3944,2026-03-29T22:55:57.549Z,BTC,fwd,bithumb,binance,2.1154059957165794,67034.4649775955,65645.79,1508.0004,1,0.00096,1.33312797849169
3943,2026-03-29T22:55:56.550Z,ETH,fwd,bithumb,bybit,2.126410029872261,2006.630767471945,1964.85,1508.0004,1,0.5089447031580019,21.264100298722642
3942,2026-03-29T22:55:56.549Z,ETH,fwd,bithumb,binance,2.129008930778964,2006.630767471945,1964.8,1508.0004,1,0.508957654723127,21.290089307789668
3941,2026-03-29T22:55:56.549Z,BTC,fwd,bithumb,bybit,2.1665937301895033,67034.4649775955,65612.9,1508.0004,1,0.015240905370742646,21.665937301895056
3940,2026-03-29T22:55:56.549Z,BTC,fwd,bithumb,binance,2.1628412295781274,67034.4649775955,65615.31,1508.0004,1,0.015240345583980325,21.628412295781374
3939,2026-03-29T22:55:55.550Z,ETH,fwd,bithumb,bybit,2.165407437093081,2006.630767471945,1964.1,1508.0004,1,0.5091390458734281,21.6540743709308
3938,2026-03-29T22:55:55.549Z,ETH,fwd,bithumb,binance,2.173730738818147,2006.630767471945,1963.94,1508.0004,1,0.509180524863285,21.737307388181428
3937,2026-03-29T22:55:55.549Z,BTC,fwd,bithumb,bybit,2.2091205654831247,67034.4649775955,65585.6,1508.0004,1,0.015247249396208922,22.091205654831214
3936,2026-03-29T22:55:55.549Z,BTC,fwd,bithumb,binance,2.2110530278796725,67034.4649775955,65584.36,1508.0004,1,0.00251,3.639763493764714
3935,2026-03-29T22:55:54.550Z,ETH,fwd,bithumb,bybit,2.1877793861466044,2006.630767471945,1963.67,1508.0004,1,0.5092505359861891,21.87779386146604
3934,2026-03-29T22:55:54.550Z,ETH,fwd,bithumb,binance,2.173730738818147,2006.630767471945,1963.94,1508.0004,1,0.509180524863285,21.737307388181428
3933,2026-03-29T22:55:54.550Z,BTC,fwd,bithumb,bybit,2.219407093117476,67034.4649775955,65579,1508.0004,1,0.015248783909483218,22.194070931174675
3932,2026-03-29T22:55:54.550Z,BTC,fwd,bithumb,binance,2.2155883677404287,67034.4649775955,65581.45,1508.0004,1,0.015248214243509408,22.15588367740431
3931,2026-03-29T22:55:53.550Z,ETH,fwd,bithumb,bybit,2.2080786985017475,2006.630767471945,1963.28,1508.0004,1,0.09579,4.152570016137623
3930,2026-03-29T22:55:53.550Z,ETH,fwd,bithumb,binance,2.1992292888510123,2006.630767471945,1963.45,1508.0004,1,0.5093075963227991,21.99229288851004
3929,2026-03-29T22:55:53.550Z,BTC,fwd,bithumb,bybit,2.2376473906894123,67034.4649775955,65567.3,1508.0004,1,0.015251504942250176,22.376473906894155
